key,value,date
票据推销,0,00/03
票据推销,0,00/08
票据推销,0,00/13
票据推销,0,00/18
票据推销,0,00/23
票据推销,0,00/28
票据推销,0,00/33
票据推销,0,00/38
票据推销,0,00/43
票据推销,0,00/48
票据推销,0,00/53
票据推销,0,00/58
票据推销,0,01/03
票据推销,0,01/08
票据推销,0,01/13
票据推销,0,01/18
票据推销,0,01/23
票据推销,0,01/28
票据推销,0,01/33
票据推销,0,01/38
票据推销,0,01/43
票据推销,0,01/48
票据推销,0,01/53
票据推销,0,01/58
票据推销,0,02/03
票据推销,0,02/08
票据推销,0,02/13
票据推销,0,02/18
票据推销,0,02/23
票据推销,0,02/28
票据推销,0,02/33
票据推销,0,02/38
票据推销,0,02/43
票据推销,0,02/48
票据推销,0,02/53
票据推销,0,02/58
票据推销,0,03/03
票据推销,0,03/08
票据推销,10,03/13
票据推销,0,03/18
票据推销,0,03/23
票据推销,0,03/28
票据推销,0,03/33
票据推销,0,03/38
票据推销,0,03/43
票据推销,0,03/48
票据推销,0,03/53
票据推销,0,03/58
票据推销,0,04/03
票据推销,4,04/08
票据推销,0,04/13
票据推销,0,04/18
票据推销,0,04/23
票据推销,0,04/28
票据推销,0,04/33
票据推销,0,04/38
票据推销,0,04/43
票据推销,4,04/48
票据推销,0,04/53
票据推销,0,04/58
票据推销,0,05/03
票据推销,4,05/08
票据推销,0,05/13
票据推销,10,05/18
票据推销,0,05/23
票据推销,0,05/28
票据推销,0,05/33
票据推销,0,05/38
票据推销,0,05/43
票据推销,4,05/48
票据推销,0,05/53
票据推销,0,05/58
票据推销,9,06/03
票据推销,4,06/08
票据推销,16,06/13
票据推销,29,06/18
票据推销,13,06/23
票据推销,0,06/28
票据推销,32,06/33
票据推销,32,06/38
票据推销,25,06/43
票据推销,43,06/48
票据推销,40,06/53
票据推销,46,06/58
票据推销,95,07/03
票据推销,85,07/08
票据推销,101,07/13
票据推销,127,07/18
票据推销,72,07/23
票据推销,57,07/28
票据推销,56,07/33
票据推销,116,07/38
票据推销,102,07/43
票据推销,77,07/48
票据推销,126,07/53
票据推销,209,07/58
票据推销,155,08/03
票据推销,258,08/08
票据推销,150,08/13
票据推销,185,08/18
票据推销,191,08/23
票据推销,188,08/28
票据推销,107,08/33
票据推销,115,08/38
票据推销,123,08/43
票据推销,74,08/48
票据推销,128,08/53
票据推销,143,08/58
票据推销,167,09/03
票据推销,97,09/08
票据推销,121,09/13
票据推销,104,09/18
票据推销,85,09/23
票据推销,100,09/28
票据推销,155,09/33
票据推销,164,09/38
票据推销,111,09/43
票据推销,108,09/48
票据推销,110,09/53
票据推销,108,09/58
票据推销,168,10/03
票据推销,114,10/08
票据推销,166,10/13
票据推销,151,10/18
票据推销,160,10/23
票据推销,96,10/28
票据推销,122,10/33
票据推销,110,10/38
票据推销,110,10/43
票据推销,173,10/48
票据推销,77,10/53
票据推销,128,10/58
票据推销,210,11/03
票据推销,101,11/08
票据推销,173,11/13
票据推销,92,11/18
票据推销,159,11/23
票据推销,89,11/28
票据推销,92,11/33
票据推销,87,11/38
票据推销,56,11/43
票据推销,78,11/48
票据推销,95,11/53
票据推销,117,11/58
票据推销,124,12/03
票据推销,98,12/08
票据推销,142,12/13
票据推销,137,12/18
票据推销,168,12/23
票据推销,119,12/28
票据推销,159,12/33
票据推销,129,12/38
票据推销,189,12/43
票据推销,185,12/48
票据推销,137,12/53
票据推销,112,12/58
票据推销,131,13/03
票据推销,109,13/08
票据推销,111,13/13
票据推销,101,13/18
票据推销,153,13/23
票据推销,153,13/28
票据推销,148,13/33
票据推销,115,13/38
票据推销,136,13/43
票据推销,86,13/48
票据推销,151,13/53
票据推销,107,13/58
票据推销,123,14/03
票据推销,84,14/08
票据推销,97,14/13
票据推销,126,14/18
票据推销,136,14/23
票据推销,85,14/28
票据推销,104,14/33
票据推销,66,14/38
票据推销,73,14/43
票据推销,79,14/48
票据推销,75,14/53
票据推销,56,14/58
票据推销,81,15/03
票据推销,66,15/08
票据推销,84,15/13
票据推销,113,15/18
票据推销,72,15/23
票据推销,94,15/28
票据推销,41,15/33
票据推销,56,15/38
票据推销,114,15/43
票据推销,80,15/48
票据推销,85,15/53
票据推销,136,15/58
票据推销,100,16/03
票据推销,126,16/08
票据推销,87,16/13
票据推销,101,16/18
票据推销,159,16/23
票据推销,157,16/28
票据推销,102,16/33
票据推销,115,16/38
票据推销,158,16/43
票据推销,146,16/48
票据推销,116,16/53
票据推销,172,16/58
票据推销,148,17/03
票据推销,78,17/08
票据推销,156,17/13
票据推销,196,17/18
票据推销,174,17/23
票据推销,93,17/28
票据推销,140,17/33
票据推销,336,17/38
票据推销,230,17/43
票据推销,240,17/48
票据推销,190,17/53
票据推销,331,17/58
票据推销,206,18/03
票据推销,244,18/08
票据推销,296,18/13
票据推销,204,18/18
票据推销,225,18/23
票据推销,291,18/28
票据推销,254,18/33
票据推销,169,18/38
票据推销,192,18/43
票据推销,205,18/48
票据推销,221,18/53
票据推销,165,18/58
票据推销,118,19/03
票据推销,175,19/08
票据推销,210,19/13
票据推销,235,19/18
票据推销,148,19/23
票据推销,271,19/28
票据推销,195,19/33
票据推销,219,19/38
票据推销,143,19/43
票据推销,153,19/48
票据推销,144,19/53
票据推销,116,19/58
