time,票据推销,色情欺诈,卡贷诱骗,商务广告
214,27,0,6,0
215,26,0,22,0
218,80,0,57,0
219,177,0,0,0
220,101,0,12,0
221,142,0,83,0
222,107,0,10,0
223,88,0,12,0
224,58,0,52,0
225,106,0,31,0
226,88,0,28,0
228,91,0,41,0
229,179,0,36,0
231,95,12,1,0
232,87,64,23,0
233,0,15,50,0
234,115,9,0,0
235,134,15,31,0
236,120,16,26,0
237,61,102,63,0
238,44,73,17,0
239,77,117,45,0
240,60,83,15,0
241,103,40,44,0
242,29,8,37,0
243,84,36,53,0
244,36,17,0,0
245,19,57,72,0
246,22,9,66,0
247,40,30,53,0
249,23,38,1,0
250,6,27,0,0
252,1,31,0,0
253,16,71,0,0
254,9,74,3,0
255,9,69,9,0
256,1,27,0,0
258,10,72,0,0
259,17,10,0,0
260,9,37,0,0
261,0,23,0,0
