word,frequency,label
发票,45369,0
公司,42051,0
行业,31450,0
代开,29908,0
付款,29647,1
正规,24369,0
电话,21686,1
打扰,18540,1
北京,16530,1
验后,15025,0
低保真,14498,0
保真,13614,0
登录,12730,2
工商银行,12727,2
增值税,12279,0
尊敬,11679,0
核实,11674,2
用户,11231,2
工行,10328,2
机打,9571,0
微信,8849,1
见谅,8610,1
酒店,8429,1
白领,8153,1
模特,8095,1
公寓,7547,1
支票,7334,0
兑现,6658,0
上门服务,6271,1
走账,6087,0
被,5910,2
因,5906,2
冻结,5899,2
提示,5882,0
解冻,5880,2
账户,5841,2
按,5838,2
未分类,5833,2
个人信息,5833,2
年代,5533,0
逾期,5432,2
空姐,5329,1
满意,5263,1
少妇,5225,1
无需,5184,1
长期,5099,1
洋妞,5080,1
定金,5080,1
材料,5062,0
兑换,5045,2
联系电话,5030,1
元,4765,2
对外,4750,0
办理,4749,2
积分,4555,2
服务,4529,1
即将,4516,2
即可,4510,2
现金,4496,2
中国工商银行,4495,2
普通,4287,0
经理,4286,0
恭喜发财,4208,0
全国,4040,0
各种,3903,0
海涵,3868,1
会计,3840,0
广告,3839,0
美女,3761,1
各行各业,3683,0
诚信,3640,1
王,3458,0
三线,3455,1
明星,3455,1
张,3451,0
国内外,3430,1
韩,3403,1
对公,3372,0
谅解,3362,0
工程,3265,0
李经理,3251,0
热线,3229,1
常,3126,0
联系,3106,0
需要,3061,0
及,2893,0
提供,2875,1
万,2869,2
清纯,2824,1
学妹,2824,1
法意,2824,1
俄,2824,1
高端,2824,1
等等,2824,0
常年,2739,0
学生,2721,1
工程款,2560,0
增值,2437,0
可验,2425,0
额度,2425,2
可开,2421,0
我行,2409,2
长,2407,0
低,2392,0
提升,2388,2
韩欧美,2256,1
开发票,2221,0
专业,2184,0
建筑,2132,0
李,2100,0
票,2092,0
学生妹,2078,1
价格,2037,0
欢迎,2036,0
来电,2014,0
国税,1996,0
短信,1995,1
北京市,1989,0
验证,1957,0
多余,1948,0
税点,1915,0
高,1886,0
王经理,1869,0
信号,1840,2
良好,1840,2
不回,1836,1
款,1832,0
科技,1830,0
查验,1823,0
信用卡,1794,2
点低,1791,0
咨询,1781,0
上门,1778,1
按摩,1778,1
国外,1778,1
留学生,1778,1
诚电,1778,1
非城,1778,1
勿扰,1778,1
租赁,1743,0
网上,1741,0
各类,1734,0
绝对,1716,0
先生,1715,0
请谅解,1698,0
低验,1674,0
以备,1666,0
微,1660,2
代,1611,0
上网,1584,0
真,1578,0
会议,1556,0
姿色,1533,1
或,1530,2
综合,1529,2
评分,1529,2
申请,1529,2
白金,1512,2
万元,1512,2
查询,1464,0
公,1418,0
走帐,1383,0
首付,1339,2
护士,1337,1
海景房,1333,2
全部,1317,3
刻章,1298,0
用,1249,0
个,1242,3
出售,1241,0
实习,1233,1
佳丽,1233,1
敬请,1229,0
合作,1220,0
限,1216,2
大,1177,2
外地,1157,0
优惠,1152,0
专票,1151,0
房,1151,2
购买,1149,2
现在,1148,2
年,1148,2
河北,1144,2
市,1144,2
只有,1144,2
秦皇岛,1144,2
产权,1144,2
精装修,1144,2
一线,1144,2
起,1144,2
急用,1135,0
普通发票,1111,0
所,1095,1
信用,1088,2
各地,1054,0
永久,1040,0
金发碧眼,1023,1
北影,1023,1
在校学生,1023,1
